S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
163,"H. I. Afridi, T. G. Kazi, Farah N. Talpur, N. Kazi, F Shah, Naeemullah,  Sadaf S. Arain, KD, Brahman"," Evaluation of Calcium, Magnesium, Potassium and Sodium in Biological Samples of Male Human Immunodeficiency Virus Patients with Tuberculosis and Diarrhea Compared to Healthy Control Subjects in Pakistan",Clinical Laboratory,Clinical Laboratory,1.084,https://www.clin-lab-publications.com/,2013,59(5-6):539,50,
164,"H. I. Afridi, T.G. Kazi, N. Kazi, Naeemullah, S. S. Arain, K. D. Brahman, F.N. Talpur,  ","Evaluations of Calcium, Magnesium, Potassium and Sodium in Biological Samples of human immunodeficiency virus male patients having tuberculosis and diarrhea with related to referents in Pakistan",Clinical Laboratory,Clinical Laboratory,1.084,https://www.clin-lab-publications.com/,2013,,,
165,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Salma Arain, Sadaf Sadia Arain, Naveed Kazi, Abdul Haleem Panhwar,"," Evaluation of chromium and manganese in biological samples (scalp hair, blood and urine) of tuberculosis and diarrhea male human immunodeficiency virus patients",Clinical Laboratory,Clinical laboratory,1.084,https://www.clin-lab-publications.com/,. (Accepted) 1+2/2014. ,,,
166,"bdul Haleem Panwar, T. G. Kazi, H. I. Afridi, Farah N. Talpur. N. Kazi. "," ADistribution of Potassium, Calcium, Magnesium, and Sodium levels in Biological Samples of Pakistani hypertensive Patients and control subjects",Clinical Laboratory,Clinical laboratory,1.084,https://www.clin-lab-publications.com/,2014,,"5-6,",
167,"H. I. Afridi, T. G. Kazi , N. Kazi , F.N.Talpur, F.Shah, Naeemullah, S.S.Arain, K.P. Brahman","Evaluation of Status of Arsenic, Cadmium, Lead and Zinc Levels in Biological Samples of Normal and Arthritis Patients of Age Groups (46 - 60) and (61 - 75) Years",Clinical Laboratory,Clinical Laboratory doi: 10.7754/Clin.Lab.2012.120126,1.084,https://www.clin-lab-publications.com/,2013,59,143-153,
168,"  Y. Junejo, A. Baykal, Sirajuddin."," Green Chemical Synthesis of Silver Nanoparticles and its Catalytic Activity,",Journal Of Inorganic And Organometallic Polymers,J Inorg Organomet Polym,1.077,http://www.springer.com/chemistry/inorganic+chemistry/journal/10904,"2013,",I 10.1007/,s10904-013-9974,
169,"Aamna Balouch, Mazhar Kolachi, Farah Naz Talpur, Humaira Khan, M. I. Bhanger,  ","Sorption Kinetics, Isotherm and Thermodynamic modeling of Defluoridation of Ground water using Natural Adsorbents,",Americal Journal of Analytical Chemistry, American Journal of Analytical Chemistry,1.05,http://www.scirp.org/Journal/Home.aspx?JournalID=203,", 2013 "," 4, ", 1-10îîîView    31. ,
170,"Aamna Balouch, Mazhar Kolachi, Farah Naz Talpur, Humaira Khan, M. I. Bhanger","Sorption Kinetics, Isotherm and Thermodynamic modeling of Defluoridation of Ground water using Natural Adsorbents",American Journal of Analytical Chemistry ,American Journal of Analytical Chemistry ,1.05,http://www.scirp.org/Journal/Home.aspx?JournalID=203,"2013, ","4, 5, ",221-228.,
171,"A Balouch, M Kolachi, FN Talpur, H Khan, MI Bhanger",Isotherm and Thermodynamic Modeling of Defluoridation of Ground Water Using Natural Adsorbents,American Journal of Analytical Chemistry ,American Journal of Analytical Chemistry ,1.05,http://www.scirp.org/Journal/Home.aspx?JournalID=203,2013,"4,", 221   3.,
172,"AA Bhatti, AA Bhatti, IB Solangi, S Memon,  ","Pb2+ adsorption behavior of calix [4] arene based Merrifield Resin,",Desalination and Water Treatment, Desalination and Water Treatment,0.988,http://www.deswater.com/,2013," 51 (22-24),", 4666-4674.    ,
173," Memon S., Memon S. and Memon N.",A Highly Efficient p-tert-butylcalix[8]arene Based Modified Silica for Removal of Hexachlorocyclohexane Isomers from Aqueous Media”,Desalination and Water Treatment,Desal. Water Treat ,0.988,http://www.deswater.com/,2013,"1-11,",,
174, Memon S.; Memon N. and Memon S,Removal of carbofuran and methylparathion from aqueous media through calix[4]arene based impregnated resin. ,Desalination and Water Treatment,"Desal. Water Treat 1-11, ",0.988,http://www.deswater.com/,2014,,,
175," Bhatti, A.A.; Bhatti, A.A.; Solangi, I.B. and Memon S. ",Pb2+ Adsorption Behavior of Calix[4]arene Based Merrifield Resin” ,Desalination and Water Treatment,Desal. Water Treat 51 ,0.988,http://www.deswater.com/,2013,(22-24) ,4666-4674,
176,"Sibghatullah Memon Shahabuddin Memon, Najma Memon",A highly efficient p-tert-butylcalix[8]arene-based modified silica for the removal of Hexachlorocyclohexane isomers from aqueous media.,Desalination and Water Treatment,Desalin Water Treat DOI: 10.1080/19443994.2013.794710,0.988,http://www.deswater.com/,2013,Published online: 24 May 2013,,
177,"Sibghatullah Memon Shahabuddin Memon, Najma Memon",A highly efficient p-tert-butylcalix[8]arene-based modified silica for the removal of Hexachlorocyclohexane isomers from aqueous media,Desalination and Water Treatment,Desalination and Water Treatment DOI: 10.1080/19443994.2013.794710,0.988,http://www.deswater.com/,2013,Published online: 24 May 2013,,
178,"Sibghatullah Memon, Najma Memon, Shahabuddin Memon, ","Removal of carbofuran and methylparathion from aqueous media through calix [4] arene-based impregnated resin, ",Desalination and Water Treatment,"Desalination and Water Treatment, DOI:10.1080/19443994.2014.891464",0.988,http://www.deswater.com/,2013,,,
179,"Laghari, A.H.; Memon, S.; Nelofar, A. and Khan, K.M. “", Determination of volatile constituents and antimicrobial activity of Camel thorn (Alhagi camelorum) flowers,Analytical Letters," Anal Lett 47,",0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2014,"413–421,",,
180,"Zaheer A. Chandio, Farah N. Talpur, Humaira Khan,Ghulam Quadir Khaskheli, H.I. Afridi","Online preconcentration using surfactant coated alumina modified with 1, 5-diphenylthiocarbazone and determination of cadmium in environmental samples by flame atomic absorption spectrometry",Analytical Letters,Anal Lett,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,46,1568-1572,
181,"Kamran Abro, Najma Memon, M. I. Bhanger, Suhail Abro, Shahnaz Perveen and A. H. Laghari"," Determination of Vitamins E, D3, and K1 in Plasma by Liquid Chromatography-Atmospheric Pressure Chemical Ionization- Mass Spectrometry Utilizing a Monolithic Column.",Analytical Letters,Anal Lett ,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,54,,
182,"Kamran Abro, Najma Memon, M. I. Bhanger, Suhail Abro, Shahnaz Perveen and A. H. Laghari","Determination of Vitamins E, D3, and K1 in Plasma by Liquid Chromatography-Atmospheric Pressure Chemical Ionization- Mass Spectrometry Utilizing a Monolithic Column,",Analytical Letters,Analytical Letters,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,,,
