Faculty/ Department,Name of Author,Title of Research Paper,Name of Journal,Volume#,Page#,Category/ IF,source
NCEAC,"Abro, Kamran; Memon, Najma; Bhanger, M. I.; Abro, Suhail; Perveen, Shahnaz; Laghari, A. H.","DETERMINATION OF VITAMINS E, D3, AND K1 IN PLASMA BY LIQUID CHROMATOGRAPHY-ATMOSPHERIC PRESSURE CHEMICAL IONIZATION-MASS SPECTROMETRY UTILIZING A MONOLITHIC COLUMN",ANAL LETT,47,10.1080/00032719.2013.831424,ISI,
NCEAC,"Laghari, Abdul Hafeez; Memon, Shahabuddin; Nelofar, Aisha; Khan, Khalid M.",DETERMINATION OF VOLATILE CONSTITUENTS AND ANTIMICROBIAL ACTIVITY OF CAMEL THORN (ALHAGI CAMELORUM) FLOWERS,ANAL LETT,47,10.1080/00032719.2013.841178,ISI,
chemistry,"Ali N. Siyal, Saima Q. Memon, Aydan Elçi, Umit Divrikli, Aysen Hol, Aslihan, M.Y Khuhawar and Latif E",Development of 2-Acetylpyridine-4-phenyl-3-thiosemicarbazone functionalized polymer resin for the preconcentration of metal ions prior to their ultra-trace determinations by MIS-FAAS  Turkish,Journal of Chemistry  , 38 (4, 553-567 2. ,0.622,http://www.hindawi.com/journals/jchem/2013/184356/
chemistry,"Siyal, Ali Nawaz; Memon, Saima Qayoom; Elci, Aydan; Divrikli, Umit; Khuhawar, Muhammad Yar; Elci, Latif",Development of 2-acetylpyridine-4-phenyl-3-thiosemicarbazone functionalized polymeric resin for the preconcentration of metal ions prior to their ultratrace determinations by MIS-FAAS,TURK J CHEM,38,10.3906/kim-1308-51,ISI,
NCEAC,"Naeemullah; Kazi, Tasneem Gul; Tuzen, Mustafa; Shah, Faheem; Afridi, Hassan Imran; Citak, Demirhan",Development of a new green non-dispersive ionic liquid microextraction method in a narrow glass column for determination of cadmium prior to couple with graphite furnace atomic absorption S pectrometry,ANAL CHIM ACTA,812,10.1016/j.aca.2013.12.034,ISI,
NCEAC,"Naeemullah, Tasneem Gul Kazi, Mustafa Tuzen, Faheem Shah, Hassan Imran Afridi, Demirhan Citak,",Development of a new green non-dispersive ionic liquid microextraction method in a narrow glass column for determination of cadmium prior to couple with graphite furnace atomic absorption spectrometry," Analytica Chimica Acta,",,",  59-64.",4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description
NCEAC,"Naeemullah; Kazi, Tasneem Gul; Afridi, Hassan Imran; Shah, Faheem; Arain, Sadaf Sadia; Panhwar, Abdul Haleem; Arain, Salma Aslam; Arain, Mohammad Balal",Development of green miniaturized dispersive ionic Liquid nano-emulsion method for preconcentration of cadmium from canal and waste water samples prior to coupling with graphite furnace atomic absorption spectrometry,ANAL METHODS-UK,6,10.1039/c4ay01280a,ISI,
NCEAC,"Bhatti, Asif Ali; Memon, Shahabuddin; Memon, Najma",Dichromate Extraction by Calix[4] arene Appended Amberlite XAD-4 Resin,SEP SCI TECHNOL,49,10.1080/01496395.2013.862722,ISI,
NCEAC," Asif Ali Bhatti, Shahabuddin Memon and Najma Memon. ",Dichromate Extraction by Calix[4]arene Appended Amberlite XAD-4 Resin. ,  Sep Sci Technol ,49 (5) ,664-672,3.065,http://www.elsevier.com/wps/find/journaldescription.cws_home/600251/description#description
NCEAC,"Hassan Imran Afridi, Tasneem Gul Kazi, Farah Naz Talpur, Salma Arain, Sadaf Sadia Arain, Naveed Kazi, Abdul Haleem Panhwar","Distribution of Arsenic, Cadmium, Lead and Nickel levels in Biological Samples of Pakistani hypertensive Patients and control subjects"," Clinical laboratory,11+12,",,,1.084,https://www.clin-lab-publications.com/
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Arain, Salma; Arain, Sadaf Sadia; Kazi, Naveed; Panhwar, Abdul Haleem","Distribution of Arsenic, Cadmium, Lead, and Nickel Levels in Biological Samples of Pakistani Hypertensive Patients and Control Subjects",CLIN LAB,60,10.7754/Clin.Lab.2013.130718,ISI,
NCEAC,"Panhwar, Abdul Haleem; Kazi, Tasneem Gul; Afridi, Hassan Imran; Talpur, Farah Naz; Arain, Salma; Kazi, Naveed","Distribution of Potassium, Calcium, Magnesium, and Sodium Levels in Biological Samples of Pakistani Hypertensive Patients and Control Subjects",CLIN LAB,60,10.7754/Clin.Lab.2013.130122,ISI,
NCEAC,"Memon, S. Kamboh, M.A.; Bhatti, A.A.; Solangi, I.B.; and Sherazi S.T.H. ",dsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material. , Arab. J. Chem. ,7 ( 1) ,125–131 ,2.684,NA
Zoology,"Khatri, Imran; Shaikh, Akram Ali; Sultana, Riffat; Wagan, Muhammad Saeed; Ahmed, Zubair",Effect of Some Insect Growth Regulators Against Gram Pod Borer Helicoverpa artnigera (Hb.) On Chickpea Cicer arietinum (L.) Under Laboratory Conditions,PAK J ZOOL,46,,ISI,
FWB,"Iqbal, Rehana; Ali, Muhammad; Narejo, Naeem Tariq; Umer, Kashif","Effect of Varying Levels of Protein from Different Animal Sources on Growth and Survival of Carp, Cirrhinus mrigala, Reared in Cemented Cisterns",PAK J ZOOL,46,,ISI,
NCEAC,"Memon, S. A.; Shaikh, S. A.; Memon, N.",EFFECTS OF PROFENOFOS AN ENDOCRINE DISRUPTING CHEMICAL ON LEYDIG'S CELLS IN RABBITS,J ANIM PLANT SCI,24,,ISI,
SU Laar Campus,A.A. Pirzado,Electrical Transport in few layer graphene,The journal of Physical Chemistry C,2(118),873-880,,
Commerce,Dr. Jawed Ahmed Chandio,Employees Job Satisfaction,International Journal of Management Sciences and Business Research,Vol: 3 issue 2,16-24,,
NCEAC,"Kandhro, Ghulam A.; Soylak, Mustafa; Kazi, Tasneem Gul; Yilmaz, Erkan",Enrichment of Copper as 1-(2-Pyridylazo)-2-Naphthol Complex by the Combination of Dispersive Liquid-Liquid Microextraction/Flame Atomic Absorption Spectrometry,J AOAC INT,97,10.5740/jaoacint.12-114,ISI,
NCEAC," A.A. Kandhero, M.Soylak, T G Kazi, ",Enrichment of copper as 1-(2-Pyridylazo)-2-naphthol complex by the combination of dispersive Liquid-Liquid Microextraction/Flame Atomic Absorption Spectrometry,JAOAC INTERNATIONAL ,"97(1),",205-210,1.385,http://www.aoac.org/
NCEAC,"Arain, Salma Aslam; Kazi, Tasneem G.; Afridi, Hassan Imran; Talpur, Farah Naz; Mughal, Moina Akhtar; Shah, Faheem; Arain, Sadaf Sadia; Panhwar, Abdul Haleem",Estimation of Copper and Iron Burden in Biological Samples of Various Stages of Hepatitis C and Liver Cirrhosis Patients,BIOL TRACE ELEM RES,160,10.1007/s12011-014-0058-9,ISI,
Biochemistry,"Wahid Bakhsh Baloch, Allah Nawaz Memon, Hassan Imran Afridi, Allah Bakhsh Ghanghro, Abdul Hameed Lanjwani.Http://Www.Scopemed.Org/Fulltextpdf.Php?Mno=154868","Estimation Of Trace And Toxic Metals From CitrullusColosynthis Lin: A Medicinal Plant Of District Kech, Balochistan Pakistan.",Rawal Medical Journal,39 (3),270-273,Y,
NCEAC,"Jalbani, Nusrat; Kazi, Tasneem G.; Jamali, Mohammad K.; Arain, Bilal M.; Afridi, Hassan I.; Balouch, Aamna","Evaluation of aluminum contents in different bakery foods by electrothermal atomic absorption spectrometer (vol 20, pg 226, 2007)",J FOOD COMPOS ANAL,34,10.1016/j.jfca.2014.02.002,ISI,
NCEAC,"Afridi, Hassan Imran; Kazi, Tasneem Gul; Talpur, Farah Naz; Arain, Salma; Arain, Sadaf Sadia; Kazi, Naveed; Panhwar, Abdul Haleem; Brahman, Kapil Dev","Evaluation of Chromium and Manganese in Biological Samples (Scalp Hair, Blood and Urine) of Tuberculosis and Diarrhea Male Human Immunodeficiency Virus Patients",CLIN LAB,60,10.7754/Clin.Lab.2013.130736,ISI,
Biochemistry,"MubeenaLaghari, FatehuddinKhand, NaseemAslamChanna and Haji khan Khoharo. ","Evaluation of dietary and biochemical risk factors involved in the pathogenesis of bladder stones in children of below ten years age at Hyderabad, Sindh. ",Med Forum. ,2014; 25(2): 88-91 ,,Y,
NCEAC,"Brahman, Kapil Dev; Kazi, Tasneem Gul; Afridi, Hassan Imran; Rafique, Tahir; Baig, Jameel Ahmed; Arain, Sadaf Sadia; Ullah, Naeem; Panhwar, Abdul Haleem; Arain, Salma","Evaluation of fresh and stored rainwater quality in fluoride and arsenic endemic area of Thar Desert, Pakistan",ENVIRON MONIT ASSESS,186,10.1007/s10661-014-4028-7,ISI,
Plant Sciences,"Tahir, R.; Bux, H.; Kazi, A. G.; Rasheed, A.; Napar, A. A.; Ajmal, S. U.; Mujeeb-Kazi, A.",Evaluation of Pakistani Elite Wheat Germplasm for T1BL.1RS Chromosome Translocation,J AGR SCI TECH-IRAN,16,,ISI,
IARSCS,"Shah, Ambreen; Khuhawar, Muhammad Yar; Shah, Asif Ali","Evaluation of Sorption Behavior of Polymeric Resin [poly 4, 4 '-(naphthyl bis(oxy))bisbenzaldehyde ethylenediamine] for Cu (II) and Ni (II) ions",J CHEM SOC PAKISTAN,36,,ISI,
