,level,Passed,Department,Ann.Supp,Year,Gender
146,15 Years of Edu. ,3,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
147,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
148,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
149,Master 16 Years of Edu. ,4,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
150,Master (Hons) 16+ Years of Edu. ,38,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
151,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
152,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
153,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/BUSINESS ADMINSTRATION.csv,supply,2014,M
155,Bachelor 14 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
156,15 Years of Edu. ,20,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
157,16 Years of Edu. ,16,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
158,17 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
159,Master 16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
160,Master (Hons) 16+ Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
161,M.Phil ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
162,Ph.D ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
163,PGD ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",annual,2014,M
168,15 Years of Edu. ,5,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
169,16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
170,17 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
171,Master 16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
172,Master (Hons) 16+ Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
173,M.Phil ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
174,Ph.D ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
175,PGD ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR  PHYSICAL EDUCATION, HEALTH & SPORTS SCIENCE.csv",supply,2014,M
177,Bachelor 14 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
178,15 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
179,16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
180,17 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
181,Master 16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
182,Master (Hons) 16+ Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
183,M.Phil ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
184,Ph.D ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
185,PGD ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",annual,2014,M
190,15 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
191,16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
192,17 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
193,Master 16 Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
194,Master (Hons) 16+ Years of Edu. ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
195,M.Phil ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
196,Ph.D ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
197,PGD ,0,"MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR MUSIC EDUCATION, INSTITUTE OF ART & DESIGN.csv",supply,2014,M
199,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
200,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
201,16 Years of Edu. ,51,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
202,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
203,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
204,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
205,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
206,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
207,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,annual,2014,M
212,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
213,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
214,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
215,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
216,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
217,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
218,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
219,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR PURE & APPLIED GEOLOGY.csv,supply,2014,M
221,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
222,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
223,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
224,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
225,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
226,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
227,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
228,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
229,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,annual,2014,M
234,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
235,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
236,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
