S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
323,"M.A.SHAH++,N.MEMON,A.M.SHAIKH*, B.MAL ",Biology of Pink bollworm (Pectinophora gossypiella)Lepidoptera: Galechiidaeon different temperatures under controlled conditions,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),321-324,X
324,"M.H.SALAM++, S. MEMON*, K.T.PATHAN*, N.H.ARJO* ",Comparison of Coded and Un-coded MC-DS-CDMA System using Linear Block Codes ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),433-438,X
325,"M.S.ABBASI++,F.SHAH,S.M.DOUDPOTA**,N. CHANNA*, S. KANDHRO ",Theories and Models of Technology Acceptance Behaviour: A CriticalReview of Literature  ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),163-170,X
326,"N.CHANNA++. N.H.ARIJO*,K.T.PATHAN* ",Design and Implement Semantic Web Services In Decentralized Environment Based on Location Algorithm ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),31-34,X
327,"N.IQBAL, A.YASEEN, M.H.AGHEEM++*, M.MUNIR**,S.H.SOLANGI*,H.DARS* ","Clay Mineralogy of the Early Permian Warchha Sandstone atKatha Area, Central Salt Range, Pakistan",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),281-288,X
328,"NADEEM AHMED. KANASRO, H.U. ABBASI, M.R. MAREE, A.G.MEMON ",Speech Recognition based web scripting from predefined Context Free Grammar (Language Model & Grammar) programmed in Visual Programming and Text Editor  ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),634-639,X
329,"R. IQBAL++, M. ALI,* N.T. NAREJO**, K.UMER, A. R. ABBASI** ","Effect of Varying Levels of Protein From Different Plants Sources on Growth and Survival of Carp, Cirrhinus MrigalaReared in Cemented Cisterns",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(4),715-720,X
330,"R. SULTANA, B. A. BUGHIO,G.R. PANHWAR*, W. A. PANHWAR, S. KUMAR ",Effect of Excessive Irrigation On The Breakdown of Root Rot diseases in Cotton crop from Sakrand Sindh,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),15-16,X
331,"S. A. ALTAF++, M. G. SUGHRA*, R. A. SUHAIL*,M. S. MUHAMMAD**, D. M. UMAR* ",The effectof sugar and different growth regulators on the tuberization of potato(Solanum tuberosumL.cv. Desiree  ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),429-432,X
332,"S. A. TUNIO++, N. J. OLDFIELD*, K. G. WOOLDRIDGE*,D. P. J. TURNER* ",Molecular and Immunological Characterization of Glyceraldehyde-3-phosphate Dehydrogenase(GAPDH-1)of Neisseria meningitidisserogroup B strain MC58 ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),233-238,X
333,"S. A. TUNIO++, S. BANO, A. N. JATT,S. MAL, M. NAEEM, A. NAEEM, S. HASHMI, A. RAHIM ","Evaluation of BacterialContamination ofPowdered FoodProducts,Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),53-58,X
334,"S. AKHTAR,M.R.DHANANI* ",Population Distribution in Karachi City ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),59-64,X
335,"S. AKHTAR,M.R.DHANANI++* ",Urban Sprawl in Karachi ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),482-491,X
336,"S. B. SHAH,H. SHAIKH++, M. A. SOLANGI*,A. BALOCH** ",Numerical Simulation of Flow through a Periodically Constricted Tube: Effects of Inertia and Undulation on Flow Structure ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),35-40,X
337,"S. BANO++, S. A. TUNIO,A. KEERIO*,A. B. MEMON**,N. AHMED, S. MANZOOR ",In silico Nucleotide Sequence Analysis of the Colicin E7-K317 plasmid: A Bioinformatics Approach,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(4),651-656,X
338,"S. JAN++, I.KHAN*, I.A. SHAH**, G. AHMAD***,A. KHATTAK***,G.A.AL-SULTANY ",An Overview of Concept Comparison Practices used in Ontology Alignment ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(1),11-14,X
339,"S.A. ALI++SAFEEULLAH, A.G.MEMON*,M. AHMED** ",Interactive Employment Model to Assimilatethe Deaf personsin workplaceby using ICT ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),263-266,X
340,"S.JATOI*, W.A.BALOCH++,A.N.SOOMRO,G.S.GACHAL* ","Length-weight relationship of the Silurid catfish Sperata seenghalaSykes 1839 (Bagridae) from Indus River, Sindh, Pakistan ",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(4),661-664,X
341,"S.MALIK++,N.M.SOOMRO, T.J.URSANI++, N.BALOCH,M.S.WAGAN  ","A New Species Of Genus Callogryllu Sjostedt (Gryllidae: Orthoptera) From Sindh, Pakistan",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),289-290,X
342,"UBAIDULLAH YASHKUN, SYED FEROZ SHAH, ASIF ALI SHAIKHAND M. S. CHANDIO ",Blood flow simulation in Carotid Artery Bifurcation using Finite Element Method ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),622-627,X
343,"Y. A. MALKANI++, A. KEERIO, A. W. MAHESAR* K. DAHRI*  ",Performance and Usability Analysis of Proof-of-proximity (PoP) Framework ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(4),703-710,X
344,"Z. U. A.KHUHRO++, K.MEMON, F. N. MEMON, A. K. SOOMRO ",A Weighted Edge Clique Problem,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),393-398,X
345,"ZAIBUN-NISA MEMON++, A.M.SHAH*,G.S.GACHAL ","Study on the Gross Pathology in Broilers Affected with Marek’s Disease in Commercial Broiler Poultry Farms of Hyderabad and adjoining areas, Sindh, Pakistan",Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(2),225-228,X
346,"N. H. ARIJO++,Z. U. A. KHUHRO*,K.T. PATHAN,N. CHANNA**,S. A. MEMON ",System Modelling and its Decomposition into Local Views by Using Graph Transformation ,Sindh University Research Journal (Sci. Ser.),Sindh Univ. Res. Jour. (Sci.Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45(3),569-572,X
347," M. S. ABBASI++,F. SHAH,S. M. DOUDPOTA**,N. CHANNA*, J. AHMED** ",Age factor and Technology acceptance Behaviour of Academics in Pakistan ,Sindh University Research Journal (Sci. Ser.),Univ. Res. Jour. (Sci. Ser.) ,NA,www.surj.usindh.edu.pk/,2013,45 (1),.:183-192,X
348,,"Honor Killing in Balochistan and Sindh,",Sindhological Studies,Published in “Sindhlogical Studies,NA,NA,2011,"Volume No. 27,",,
349,"Zafar Ibupoto, Kimleang Khun, Valerio Beni and Magnus Willander    ",Non-Enzymatic Glucose Sensor Based on the Novel Flower Like Morphology of Nickel Oxid,Soft Nanoscience Letters,Soft Nanoscience Letters,NA,NA,2013,3,46-50,
361,"Tahira Qureshi, Najma Memon, Saima Q Memon, Kamran Abro and SW Shah. ","LC/UV determination of cefradine, cefuroxime, and cefotaxime in dairy milk, human serum and wastewater samples",Springer Plus,Springer Plus,NA,http://www.springerplus.com/,2013,2,575,
362,"Tahira Qureshi1, Najma Memon, Saima Q Memon, Kamran Abro and Syed Waliullah Shah","LC/UV determination of cefradine, cefuroxime, and cefotaxime in dairy milk, human serum and wastewater samples",Springer Plus,Springer Plus,NA,http://www.springerplus.com/,2013,6,575-582,
365,NA,Corruption: Socio Political Perspective in Pakistan. ,The Government,The Government Research Journal of Political Science ,NA,NA,December 2013.,Vol-II,,
366,NA,Female Victims of murder in Sindh: Cultural criminological perspective,The Government,the Government: Research Journal of political science,NA,NA,2013,Vol-II ,,
367,"Moina Akhtar Mughal, Akhtar H.Mughal, Zeenat M. Ali, Mohammad Yar Khuhawar, Hussain Saleem","New Antimicrobial Schiff base Polymers derived from 6, 6-Methylenebis (1-Napthaldehyde)",The Thermal,The Thermal,NA,NA,2013,,,
368,,"Tribal Clashes in Sindh on women and property focused Area District Ghotki, ",The Women,"Published In “The Women” Annual Research Journal of Gender Studies,",NA,NA,2012,"Vol.04,",1997-2032.,Z
369,,Status of Women in Sindh Published in ,The Women,The Women” Annual Research Journal of Gender Studies.,NA,NA,2012,"Vol.04,",,Z
373,Dr. Bashir Ahmed Rind,Islam ka dars e Rawadari,Usool e Deen,Usool e Deen,NA,NA,2014,"V  1, N0.2,",,
375,"Memon S., Memon N. and Memon S.",Removal of parathion from aqueous media through p-tert-butylcalix[4]arene based modified silica. ,, Pak. J. Anal. Environ. Chem,NA,NA,2014 Accepted.,,,Z
376," Panhwar, Q.K. and Memon, S.",Synthesis of water soluble Cr(III)-morin complex: Characterization and antioxidant study.,, The Sci.World J,NA,http://www.hindawi.com/journals/tswj/,2014 accepted,,,
377,"Agheem,  M. H, Shah, M. H., Khan, T., Dars, H","Petrogenetic  evolution  of pegmatites  of the Shigar valley, Skardu, Gilgit-Baltistan,  Pakistan.",,"2S'n  Himalayan,  Karakoram,  Tibet Workshop, Tubingen  Univ, Germany",NA,NA,2013,,,
378,"K. D Brahman, T. G. Kazi, H. I. Afridi, S. Naseem, S. S. Arain, Naeem Ullah,  ","Evaluation of high levels of fluoride, arsenic species and other physicochemical parameters in underground water of two sub districts of Tharparkar, Pakistan",,A multivariate study. Water Research doi: 10.1016/j.watres.2012.10.042,NA,NA,2013,47,1005-1020,
381,"Deniz Türkmen, Nilay Bereli, M. Emin Çorman, Huma Shaikh, Sinan Akgöl, Adil Denizli",Molecular imprinted magnetic nanoparticles for controlled delivery of mitomycin C. ,,"Artific Cells, Nanomed Biotechnol",NA,NA,2013,DOI: 10.3109/21691401.2013.823094,,
382,"MA Mirza, MY Khuhawar, R Arain","Micellar Electrokinetic Chromatographic Separation/Determination of Uranium, Iron, Copper and Nickel from Environmental Ore Samples Using Bis ",,"Asian Journal of …, 2013 - researchgate.net ",NA,NA,2013,,,
383,"Abid Ali Khaskheli, Farah N. Talpur, Ayhan S. Demir, Aysun Cebeci, Sana Jawaid",A highly selective whole cell biocatalysis method for the production of two major bioactive conjugated linoleic acid isomers,,Biocataly Agric Biotech,NA,NA,2013,," 328–332,",
384,"Veesar, I.A., Memon S. and Syed M.N. ",A green and new method for the immobilization of Candida rugosa lipase with calix[4]arene derivative,,Biochem. Eng. J ,NA,NA,2013,79 (1,,
385,"Zafar Hussain Ibupoto, K Khun, Xianjie Liu and Magnus Willander   ","Low temperature synthesis of seed mediated CuO bundle of nanowires, their structural characterisation and cholesterol detection  Materials science & engineering. C,",,"biomimetic materials, sensors and systems,",NA,NA,2013,33(7),3889-3898,
386,"IRFAN ALI MEMON*, MUHAMMAD SIDDIQUE KALHORO**, AND NIZAMUDDIN CHANNA*** Mehran University Research Journal of Engineering & Technology",Volume Conduction Effects on Wavelet,,Cross-Bicoherence Analysis [ISSN 0254-7821] ,NA,NA,2013,"vol. 32, No. 4",,
387,"MT Mahar, MY Khuhawar, TM Jahangir, MA Baloch - ",dsorption of direct black-38 azo dye on p-tert-butylcalix[6]arene immobilized material,,davidpublishing.com  warponline.org     ,NA,NA,2013,,,
388,"charbonnier,  s."" Garassino, A., pasini, G., Metais.  G., Merle, D., Bartolini, A., Brohi, l. A.,solangi, s. H., Lashari, R. A.,welcomme,  J. L., Marivaux, L ","Early paleogene decapods cnustaceans  from the Sulaiman and Kirthar Ranges, Pakistan",,Elsevier,NA,NA,2013,99,2,
390,"Cemil Aydo?an, Veyis Karakoç, Fatma Y?lmaz, Huma Shaikh and Adil Denizli. ",Enantioseparation of Ofloxacin by Ligand Exchange Capillary Electrophoresis Using L-Histidine Modified Nanoparticles as Chiral Ligand,,Hacettepe J Bio Chem 2013,NA,NA,2013,41(1),29-36,
392,"D Sharma-Poudyal, XM Chen, AM Wan, GM Zhan, ZS Kang, SQ Cao","Virulence characterization of international collections of the wheat stripe rust pathogen, Puccinia striiformis f. sp. tritici , ... ",,http://apsjournals.apsnet.org/doi/abs/10.1094/PDIS-01-12-0078-RE     ,NA,NA,2013,,,
393,"Memon, F., Memon S. and Minhas F.T.",Calix[4]arene mediated transport of methyl red through bulk liquid membrane. Comptes rendus Chimie ,,http://dx.doi.org/10.1016/j.crci.2013.09.015,NA,NA,2014 Accepted,,,
395,"AH Channar, MY Khuhawar, AA Shaikh",Preparation and characterization of new polyesters derived from schiff bases  - ,,inis.iaea.org,NA,NA,2013,,,
396,"M Mirza, MA Chaudhary, MY Khuhawar, R Arain","Analysis of glyoxal, methylglyoxal and dimethylglyoxal in beverages and edible products by mekc using meso-stilbenediamine as derivatizing reagent ",,inis.iaea.org,NA,NA,2013,,,
397,"Benish Nawaz Mirani, Saghir Ahmed Sheikh, Shafi Muhammad Nizamani and Nasir Mahmood", Effect of house hold processing in removal of lufenuron in tomato.,,Int J Agric Sci Res (IJASR),NA,NA,2013,3(1),235-244,Y
398," Rizwana K Soomro, Tufail H Sherazi,", Extraction and Characterization of Seed Oil Waxes by using Chromatographic Techniques,,Int J Indus Chem,NA,http://link.springer.com/journal/40090,2013,"9-12,",,
399,"MA Mughal, AH Mughal, ZM Ali, MY Khuhawar","Antimicrobial Viscometric Studies of Thermally Stable Metal based Schiff Base Polymer derived from 4, 4-Methylene Bis Furfuraldehyde",,"International Journal of …, 2013 - ijoart.org",NA,NA,2013,,,
400,"SA Majidano, M Alamgir, MY Khuhawar","Liquid Chromatographic Determination of Dopamine, Methyldopa, L-Dopa and Tyrosine in Pharmaceutical Preparations using 2-Hydroxynaphthaldehyde as a",,"International Journal of …, 2013 - warponline.org",NA,NA,2013,,,
401,"Memon, F. and Memon S",Differential recognition of D- and L-alanine by calix[4]arene derivative,,J Incl Phenom Macro Chem (Accepted).,NA,NA,2013,62),,
402,"Ghulam Yasin, Muhammad I. Bhanger, Tariq Mahmood Ansari, Syed M Sibtain Raza Naqvi, Muhammad Ashraf, Khizar Ahmad and Farah Naz Talpur.",NA,,J Petrol Technol Alternat Fuels,NA,http://www.academicjournals.org/journal/JPTAF,2013,4(3),53-63,
403,"Y. Junejo, E. Karaog?lu, A. Baykal, Sirajuddin","efditorene-mediated synthesis of silver nanoparticles and its catalytic activity, ",,J. Inorg. Organomet. Polym DOI 10.1007/s10904-013-9882-1,NA,http://dx.doi.org/10.1007/s10904-013-9882-1,2013,79)   . CAvailable on line in  2013,,
404,"Minhas, F.T.; Memon, S. and Bhanger, M.I,  ",Hg(II) transport through modified supported liquid membrane,,J. Macromol. Sci. Part-A Pure Appl. Chem,NA,,2013,50(2),215-220,
405,"Minhas, F.T.; Memon, S. and Bhanger, M.I.",Distribution and Risk Assessment of Polycyclic Aromatic Hydrocarbons in Vegetables Grown in Pakistan,,J. Macromol. Sci. Part-A Pure Appl. Chem,NA,,2013,50(2),215-220,
406,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M. ",Isolation and characterization of steroids from methanol extract of the Calligonum polygonoides roots,,J. Pharm. Res,NA,,2013,6,346-349,
407,"Suratun Nafisah, Akrajas Ali Umar, Sin Tee Tan, Aamna Balouch, Muhammad Mat Salleh",Deposition of Au/TiO2 Nanocomposite on ITO Surface by Seed-Mediated Liquid Phase Deposition Method,,J. Phys.: Conf. Ser,NA,,2013,431,,
408," Arfana Mallah, Saima Memon, Amber R. Solangi, Abdullah Khan, Muhammad. Y. Khuhawar, M. I. Bhanger","Separation and Determination of Chromium (III), Chromium (VI), Gold (III) and Arsenic (V) by Capillary Zone Electrophoresis using 2-Acetylpyridine-4-phenylthiosemicarbazone as Complexing Reagent",,JCSP ,NA,, . 2013 ,71) ,,
409,"Ali N. Siyal, Saima Q. Memon",Multi Variant Sorption Optimization for the Uptake of Pb(II) ions by Jamun Seed Waste  Polish,,Journal of Chemical Technology ,NA,NA,2013, 15 (1) , 15-21 9. ,
410,"Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Yaqoob Khan, Azam Khan, Omer Nur and Magnus Willander    ",Iron (III) Ion Sensor Based on the Seedless Grown ZnO Nanorods in 3 Dimensions Using Nickel Foam Substrate ,,Journal of Sensors,NA,NA,2013,2013 (382726),,
411,"W Jamil, S Perveen, SAA Shah, M Taha, NH Ismail",Phenoxyacetohydrazide Schiff bases: ?-Glucuronidase inhibitors … - Molecules,,mdpi.com ,NA,NA,2014,,,
412," Mazhar Ali Abbasi, Zafar Hussain Ibupoto, Azam Khan, Omer Nur and Magnus Willander  ",Fabrication of UV photo-detector based on coral reef like p-NiO/n-ZnO ,,nanocomposite structures  Materials letters (General ed.),NA,NA,2013,"108,", 149-152.  ,
413," Zafar Hussain Ibupoto, Kimleang Khun and Magnus Willander   ",A Selective Iodide Ion Sensor Electrode Based on Functionalized ZnO,,"Nanotubes  Sensors,",NA,NA,2013,", 13(2),",  1984-1997.    ,
414,"M. Y.  Khuhawar A. J. Kandhro, K. U. Abbasi, M. A. Kashmiri, Malik Alamghir, K. P. Mahar. G. M. Mastoi","Micellar Electrokinetic Capillary Chromatography Determination of Guanidino Compounds in Serum of Uremic Patients by using 2, 2- Pyridoin as Derivatizing Reagent",,Pak. J. Chem.,NA,https://www.pjchm.com/,2013,2(1),29-33,
415,"Naseem  A. Channa, FD Khand. Rawal",Gallstones and its riskfactors: an epidemiologic  investigation  in southern  sindh,,Pakistan   Medical Journal. 2013,NA,NA,2013,38(4),361,
416,By Bahauddin  Zakaria  University  Multan,Al Hania w Rishvatia ,,Pakistan  Journal  of lslamic  Research  (PJIR) ,NA,NA,Dec-13,V No 11,,
417,"M. Afzal  Khan 1 , Aalia Nazir 1 , M. A. Gadhi 2 , Altaf H. Nizamani 3 , Hussain Saleem ",Effect of Change in Orientation of Enhanced Dynamic Wedges on  Radiotherapy Treatment Dose ,,Pakistan International Journal of Advancements in Research & Technology ,NA,NA,2013,"2, issue 5",496,
418,"Nazeer A.. Solangi SH.,  Brohi IA., Usmani P., Naparl.D., Jahangirs.,  Hameeds., Ati s.M","Hydrocarbon  Potential of Zindapir Anticline,  Eastern Suiaiman  Fold Belt Middle lndus Basin, Pakistan",,Pakistan Journal  of Hydrocarbon  Research,NA,NA,2012 & 2013,22&23,,Y
419,"Qureshi, Misbah bibi",Women and their Social Contribution: Before and After Islam,,"Pakistan Journal of Gender Studies, University fo Karachi  ",NA,NA,2013,7,31-48,
420,"Afsheen  Mushtaque Shah,  Allah Nawaz  Memon.  Arshad Hussain  Laghari  & Mehar  Ali Kazi.","Nutritionol  Assessment of Hostel Residentiol  & Non  Hostel Residentiol  Boys & Girl Students of Sindh  University,Jomshoro, Sindh  -  Pakistan.  Institute of Biochemistry,  University  of Sindh, Jamshoro  -  ",,"Pakistan. Pakistan  Journal of Nutrition,",NA,NA,2013, 12(a):,"356-359,",Y
421,"M S. AlSalhi, M Atif, A A. Ansari, K Khun, Zafar Hussain Ibupoto and Magnus Willander   ",Growth and characterization of ZnO nanowires for optical applications Laser ,,physics,NA,NA,2013,"23(6),",,
422,"M.I. Abro, A. G. Pathan, A. R. Memon, Sirajuddin","Dual polymer flocculation approach to overcome activation of gangue minerals during beneficiation of complex iron ore,",,Powd. Tech,NA,NA,2013,83)  245,281-291,
423,,"lmpact of trade linearization  and south Asian free trade  agreement  on textile  and rice export of Pakistan  economy by using CGE model""",,published  in academy of Business  public administration  disciplines,NA,NA,2013,,,
424,,Exchange  Market pressure  intervention  index for PakistanEvidence  from a time-varying parameter  Approach,,Published  in GSTF lnternational  Journal  on Business  Review (GBR),NA,NA,2013, Vol .2 No 4,,
425,"Aamna Balouch, Akrajas Ali Umar, Sin Tee Tan, Suratun Nafisah, Siti Khatijah Md Saad and Muhamad  Salleh","Fibrous, Ultra-small Nanorod Constructed-Platinum Nanocube Directly Grown on the ITO Substrate and their Heterogeneous Catalysis Application, ",,RCS Advances(Communication),NA,NA,2013,,,
426," Zaheer A. Chandio, Farah N. Talpur, H.I. Afridi, Humaira Khan,Ghulam Quadir Khaskheli", On-line preconcentration and determination of ultra trace amounts of mercury using surfactant coated alumina modified by dithizone with cold vapor atomic absorption spectrometry. ,,"RSC Advances,  ",NA,NA,", , 2014.",14,326-333,
350,"   Akrajas Ali Umar, Suratun Nafisah, Siti Khatijah Md Saad, Aamna Balouch, Sin Tee Tan, Muhamad Mat Salleh, Munetaka Oyama, ", Poriferous microtablet of anatase TiO2 growth on an ITO surface for high-efficiency dye-sensitized solar cells.  ,Solar Energy Materials And Solar Cells,Solar Energy Materials and Solar Cells,5.03,http://www.elsevier.com/wps/find/journaldescription.cws_home/505675/description#description, 01/2014;,122,174–182.,
5,"A Mujeeb-Kazi, AG Kazi, I Dundas, A Rasheed, H Bux, P Chen, R Wang, SS Xu, T Mahmood:",Genetic diversity for wheat improvement as a conduit to food security,Advances in Agronomy,Advances in Agronomy,5.021,http://www.sciencedirect.com/science/journal/00652113,2013,122,", 179-257",
14,"Qazi M. A, Ocak Ü., Ocak M., and Memon S,  ","An excellent Cu(II) selective chemosensor based on calix[4]arene framework,",Analytica Chimica Acta, Analytica Chimica Acta http://dx.doi:10.1016/j.aca.2012.11.026,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2012,761(1),157-168,
15,"Naeemullah, Tasneem Gul Kazi, Mustafa Tuzen, Faheem Shah, Hassan Imran Afridi, Demirhan Citak,",Development of a new green non-dispersive ionic liquid microextraction method in a narrow glass column for determination of cadmium prior to couple with graphite furnace atomic absorption spectrometry,Analytica Chimica Acta," Analytica Chimica Acta,",4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,"2014,",,",  59-64.",
16,"Qazi M. A, Ocak Ü., Ocak M., and Memon S",An excellent Cu(II) selective chemosensor based on calix[4]arene framework,Analytica Chimica Acta,Anal Chim Acta ,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,761(1),157-168,
17,"S. S. Hassan, Y. Liu, Sirajuddin. A. R. Solangi, A. M. Bond, J. Zhang, ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromate,",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
18,"Syeda Sara Hassan, Yuping Liu, Sirajuddin, Amber R. Solangi, Alan M. Bond, Jie Zhang, “ ","Phosphomolybdate-doped-poly(3,4-ethylenedioxythiophene) coated gold nanoparticles: Synthesis, characterization and electrocatalytic reduction of bromated",Analytica Chimica Acta,Anal. Chim. Acta,4.517,http://www.elsevier.com/wps/find/journaldescription.cws_home/502681/description#description,2013,803,41-46,
215,"Huma Shaikh, Najma Memon, MI Bhanger, SM Nizamani, A Denizli,",Core-shell molecularly imprinted polymer-based solid-phase microextraction fiber for ultra trace analysis of endosulfan I and II in real aqueous matrix through GC-microECD,Journal of Chromatography A," Journal of Chromatography A, http://dx.doi.org/10.1016/j.chroma.2014.02.035",4.258,http://www.elsevier.com/wps/find/journaldescription.cws_home/502688/description#description,2014,,,
108," A. R. Khaskheli, Jan Fischer, Ji?rí Barek, Vlastimil Vysko?cil, Sirajuddin,   M. I. Bhanger","Differential pulse voltammetric determination of paracetamol in tablet and urine samples at a micro-crystalline natural graphite–polystyrene composite film modified electrode,",Electrochim Acta, Electrochim Acta ,4.086,http://www.elsevier.com/wps/find/journaldescription.cws_home/205/description#description,2013,(84)  . 101,238 – 242,
271," Zafar Hussain Ibupoto, N Jamal, K Khun, Xianjie Liu and Magnus Willander  ","A potentiometric immunosensor based on silver nanoparticles decorated ZnO nanotubes, for the selective detection of d-dimer ",Sensors And Actuators B-Chemical,"Sensors and actuators. B, Chemical",3.84,http://www.elsevier.com/wps/find/journaldescription.cws_home/504104/description#description,2013,182, 104-111.,
31,"N. H. Kalwar, Sirajuddin,  S. T. H. Sherazi, A. R. Khaskheli, K. R. Hallam, T. B. Scott, Z. A. Tagar, S. S. Hassan, R. A. Soomro",Fabrication of small l-threonine capped nickel nanoparticles and their catalytic application,Applied Catalysis A: General,Appl. Catal. A ,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
32,"Nazar H Kalwar,  Sirajuddin, Syed Tufail H Sherazi, Abdul R Khaskheli,  Keith R Hallam,  Thomas B Scott,  Zulfiqar A Tagar, Syeda S Hassan, Razium A Soomro,  ",Fabrication of Small L-Threonine Capped Nickel Nanoparticles and Their Catalytic Application,Applied Catalysis A: General,Applied Catalysis A: General,3.674,http://www.elsevier.com/wps/find/journaldescription.cws_home/500856/authorinstructions,2013,453,54-59,
33,"Zafar Hussain Ibupoto, K Khun, Jun Lu and Magnus Willander   ","The synthesis of CuO nanoleaves, structural characterization, and their glucose sensing application  ",Applied Physics Letters,Applied Physics Letters,3.515,http://apl.aip.org/,2013,102(10),,
363,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
364,"S. K. Wadhwa, M. Tuzen, T. G. Kazi, M. Soylak,  ",Graphite furnace atomic absorption spectrometric detection of vanadium in water and food samples after solid phase extraction on multiwalled carbon nanotubes,Talanta ,Talanta ,3.511,http://www.elsevier.com/wps/find/journaldescription.cws_home/525438/description#description,2013,116,205-209,
64,"  K. D. Brahman, T. G. Kazi J.A. Baig, H. I. Afridi, S.S. Arain, M.B. Arain",", Fluoride and arsenic exposure through water and grain crops in Nagarparkar, Pakistan",Chemosphere ,Chemosphere ,3.499,http://www.elsevier.com/wps/find/journaldescription.cws_home/362/description,-2014,"100, ", 182–189. ,
